# max-cut SDP  problem=data/G55mc.sdp n=5000 m=5000 F0_nnz=17467  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.094541e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
  2425  1.6486e-03  2.6551e-03  1.1750e-03  2.6551e-03  -2.20211537e+04  -2.19694645e+04     17.56     43.955  0  0.000e+00  0.000e+00
  2450  1.6013e-03  2.6331e-03  1.1059e-03  2.6331e-03  -2.20194014e+04  -2.19707526e+04     17.72     44.395  0  0.000e+00  0.000e+00
  2475  1.6438e-03  2.6426e-03  1.1460e-03  2.6426e-03  -2.20210678e+04  -2.19706526e+04     17.79     44.834  0  0.000e+00  0.000e+00
  2500  1.6165e-03  2.6198e-03  1.3108e-03  2.6198e-03  -2.20205069e+04  -2.19628512e+04     18.76     45.279  0  0.000e+00  0.000e+00
  2525  1.6234e-03  2.6023e-03  1.1987e-03  2.6023e-03  -2.20236121e+04  -2.19708727e+04     17.44     45.718  0  0.000e+00  0.000e+00
  2550  1.6268e-03  2.5791e-03  1.2959e-03  2.5791e-03  -2.20220679e+04  -2.19650646e+04     17.21     46.157  0  0.000e+00  0.000e+00
  2575  1.6199e-03  2.6095e-03  1.1780e-03  2.6095e-03  -2.20260733e+04  -2.19742383e+04     17.70     46.594  0  0.000e+00  0.000e+00
  2600  1.6197e-03  2.5887e-03  1.0641e-03  2.5887e-03  -2.20231752e+04  -2.19763558e+04     17.08     47.038  0  0.000e+00  0.000e+00
  2625  1.6216e-03  2.6048e-03  1.1117e-03  2.6048e-03  -2.20252139e+04  -2.19762942e+04     17.62     47.484  0  0.000e+00  0.000e+00
  2650  1.6091e-03  2.5996e-03  1.0465e-03  2.5996e-03  -2.20260828e+04  -2.19800288e+04     17.93     47.928  0  0.000e+00  0.000e+00
  2675  1.6088e-03  2.6301e-03  1.0271e-03  2.6301e-03  -2.20236301e+04  -2.19784350e+04     17.79     48.366  0  0.000e+00  0.000e+00
  2700  1.6126e-03  2.6247e-03  1.2169e-03  2.6247e-03  -2.20266831e+04  -2.19731383e+04     17.68     48.806  0  0.000e+00  0.000e+00
  2725  1.5959e-03  2.6092e-03  1.0845e-03  2.6092e-03  -2.20279043e+04  -2.19801779e+04     17.37     49.248  0  0.000e+00  0.000e+00
  2750  1.5935e-03  2.6215e-03  1.1282e-03  2.6215e-03  -2.20279809e+04  -2.19783298e+04     17.54     49.687  0  0.000e+00  0.000e+00
  2775  1.5951e-03  2.6128e-03  1.0477e-03  2.6128e-03  -2.20271690e+04  -2.19810609e+04     17.29     50.132  0  0.000e+00  0.000e+00
  2800  1.6485e-03  2.5869e-03  1.1560e-03  2.5869e-03  -2.20289457e+04  -2.19780719e+04     17.60     50.575  0  0.000e+00  0.000e+00
  2825  1.6315e-03  2.6119e-03  1.0210e-03  2.6119e-03  -2.20304839e+04  -2.19855412e+04     18.47     51.019  0  0.000e+00  0.000e+00
  2850  1.6063e-03  2.5696e-03  9.5850e-04  2.5696e-03  -2.20284562e+04  -2.19862673e+04     18.39     51.461  0  0.000e+00  0.000e+00
  2875  1.5813e-03  2.5641e-03  1.1033e-03  2.5641e-03  -2.20301417e+04  -2.19815831e+04     17.64     51.896  0  0.000e+00  0.000e+00
  2900  1.6205e-03  2.6019e-03  1.0034e-03  2.6019e-03  -2.20307918e+04  -2.19866225e+04     17.29     52.338  0  0.000e+00  0.000e+00
  2925  1.6051e-03  2.5592e-03  1.0442e-03  2.5592e-03  -2.20299779e+04  -2.19840157e+04     17.38     52.785  0  0.000e+00  0.000e+00
  2950  1.6564e-03  2.5814e-03  1.0757e-03  2.5814e-03  -2.20333844e+04  -2.19860324e+04     17.71     53.231  0  0.000e+00  0.000e+00
  2975  1.6074e-03  2.5672e-03  9.0918e-04  2.5672e-03  -2.20307845e+04  -2.19907602e+04     18.59     53.673  0  0.000e+00  0.000e+00
  3000  1.6307e-03  2.5763e-03  1.0791e-03  2.5763e-03  -2.20316723e+04  -2.19841747e+04     18.59     54.111  0  0.000e+00  0.000e+00
  3025  1.5888e-03  2.5864e-03  1.0298e-03  2.5864e-03  -2.20346826e+04  -2.19893452e+04     17.14     54.554  0  0.000e+00  0.000e+00
  3050  1.6400e-03  2.5828e-03  9.2316e-04  2.5828e-03  -2.20321474e+04  -2.19915056e+04     17.18     54.996  0  0.000e+00  0.000e+00
  3075  1.6246e-03  2.6016e-03  1.0779e-03  2.6016e-03  -2.20327210e+04  -2.19852725e+04     17.67     55.443  0  0.000e+00  0.000e+00
  3100  1.6304e-03  2.5707e-03  1.0640e-03  2.5707e-03  -2.20358006e+04  -2.19889585e+04     18.07     55.884  0  0.000e+00  0.000e+00
  3125  1.6312e-03  2.6235e-03  9.3466e-04  2.6235e-03  -2.20345214e+04  -2.19933696e+04     20.36     56.327  0  0.000e+00  0.000e+00
  3150  1.6166e-03  2.6167e-03  1.0411e-03  2.6167e-03  -2.20351428e+04  -2.19893065e+04     17.23     56.775  0  0.000e+00  0.000e+00
  3175  1.6606e-03  2.6036e-03  8.8548e-04  2.6036e-03  -2.20366005e+04  -2.19976080e+04     17.47     57.216  0  0.000e+00  0.000e+00
  3200  1.6503e-03  2.5751e-03  9.3781e-04  2.5751e-03  -2.20350449e+04  -2.19937532e+04     17.35     57.657  0  0.000e+00  0.000e+00
  3225  1.5950e-03  2.6060e-03  9.3198e-04  2.6060e-03  -2.20374714e+04  -2.19964320e+04     17.67     58.093  0  0.000e+00  0.000e+00
  3250  1.6510e-03  2.6033e-03  8.3605e-04  2.6033e-03  -2.20354259e+04  -2.19986106e+04     18.46     58.536  0  0.000e+00  0.000e+00
  3275  1.6399e-03  2.5784e-03  9.9445e-04  2.5784e-03  -2.20375939e+04  -2.19938061e+04     18.10     58.977  0  0.000e+00  0.000e+00
  3300  1.6223e-03  2.5753e-03  9.1514e-04  2.5753e-03  -2.20370982e+04  -2.19968001e+04     17.63     59.413  0  0.000e+00  0.000e+00
  3325  1.6372e-03  2.5722e-03  9.9619e-04  2.5722e-03  -2.20382227e+04  -2.19943568e+04     17.66     59.848  0  0.000e+00  0.000e+00
  3350  1.5992e-03  2.5662e-03  9.8224e-04  2.5662e-03  -2.20399003e+04  -2.19966448e+04     17.41     60.290  0  0.000e+00  0.000e+00
  3375  1.6026e-03  2.5518e-03  7.7297e-04  2.5518e-03  -2.20389876e+04  -2.20049422e+04     17.64     60.730  0  0.000e+00  0.000e+00
  3400  1.5899e-03  2.5375e-03  9.1602e-04  2.5375e-03  -2.20375604e+04  -2.19972229e+04     18.58     61.172  0  0.000e+00  0.000e+00
  3425  1.5779e-03  2.5246e-03  9.2235e-04  2.5246e-03  -2.20423175e+04  -2.20016927e+04     17.37     61.619  0  0.000e+00  0.000e+00
  3450  1.5611e-03  2.5361e-03  6.9781e-04  2.5361e-03  -2.20383126e+04  -2.20075764e+04     17.21     62.051  0  0.000e+00  0.000e+00
  3475  1.5919e-03  2.5512e-03  9.9283e-04  2.5512e-03  -2.20395305e+04  -2.19958098e+04     18.07     62.491  0  0.000e+00  0.000e+00
  3500  1.6252e-03  2.5493e-03  8.0142e-04  2.5493e-03  -2.20437553e+04  -2.20084504e+04     17.35     62.937  0  0.000e+00  0.000e+00
  3525  1.6167e-03  2.5643e-03  6.7207e-04  2.5643e-03  -2.20382387e+04  -2.20086354e+04     17.27     63.375  0  0.000e+00  0.000e+00
  3550  1.6099e-03  2.5481e-03  9.5620e-04  2.5481e-03  -2.20429664e+04  -2.20008507e+04     17.85     63.818  0  0.000e+00  0.000e+00
  3575  1.6123e-03  2.5579e-03  7.3950e-04  2.5579e-03  -2.20419732e+04  -2.20093963e+04     17.62     64.254  0  0.000e+00  0.000e+00
  3600  1.6044e-03  2.5564e-03  8.6392e-04  2.5564e-03  -2.20417633e+04  -2.20037107e+04     17.84     64.696  0  0.000e+00  0.000e+00
  3625  1.6268e-03  2.5550e-03  8.4164e-04  2.5550e-03  -2.20437736e+04  -2.20066982e+04     17.64     65.140  0  0.000e+00  0.000e+00
